"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","104.18.39.21","192.168.1.104","TLSv1.2","82","Application Data"
"2","0.003803","192.168.1.104","104.18.39.21","TLSv1.2","82","Application Data"
"3","0.010598","104.18.39.21","192.168.1.104","TCP","64","443  >  51646 [ACK] Seq=25 Ack=29 Win=16 Len=0[Malformed Packet]"
"4","6.074039","192.168.1.104","74.125.200.188","TCP","55","51189  >  5228 [ACK] Seq=1 Ack=1 Win=510 Len=1"
"5","6.130607","74.125.200.188","192.168.1.104","TCP","66","5228  >  51189 [ACK] Seq=1 Ack=2 Win=1046 Len=0 SLE=1 SRE=2"
"6","8.811518","192.168.1.104","104.18.39.21","TLSv1.2","144","Application Data"
"7","8.817020","104.18.39.21","192.168.1.104","TCP","64","443  >  51646 [ACK] Seq=25 Ack=119 Win=16 Len=0[Malformed Packet]"
"8","8.998890","104.18.39.21","192.168.1.104","TLSv1.2","137","Application Data"
"9","9.041031","192.168.1.104","104.18.39.21","TCP","54","51646  >  443 [ACK] Seq=119 Ack=104 Win=510 Len=0"
"10","10.555431","192.168.1.1","224.0.0.1","IGMPv3","54","Membership Query, general"
"11","12.705977","192.168.1.104","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"12","17.703015","192.168.1.104","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"13","18.709789","192.168.1.104","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"14","19.999486","104.18.39.21","192.168.1.104","TLSv1.2","82","Application Data"
"15","20.000435","192.168.1.104","104.18.39.21","TLSv1.2","82","Application Data"
"16","20.005402","104.18.39.21","192.168.1.104","TCP","64","443  >  51646 [ACK] Seq=128 Ack=147 Win=16 Len=0[Malformed Packet]"
"17","25.713703","192.168.0.1","239.255.255.250","SSDP","463","NOTIFY * HTTP/1.1 "
"18","25.718089","192.168.0.1","239.255.255.250","SSDP","472","NOTIFY * HTTP/1.1 "
"19","25.723363","192.168.0.1","239.255.255.250","SSDP","535","NOTIFY * HTTP/1.1 "
"20","25.730183","192.168.0.1","239.255.255.250","SSDP","527","NOTIFY * HTTP/1.1 "
"21","25.735341","192.168.0.1","239.255.255.250","SSDP","472","NOTIFY * HTTP/1.1 "
"22","25.740424","192.168.0.1","239.255.255.250","SSDP","511","NOTIFY * HTTP/1.1 "
"23","25.745813","192.168.0.1","239.255.255.250","SSDP","543","NOTIFY * HTTP/1.1 "
"24","25.750081","192.168.0.1","239.255.255.250","SSDP","472","NOTIFY * HTTP/1.1 "
"25","25.816557","192.168.0.1","239.255.255.250","SSDP","531","NOTIFY * HTTP/1.1 "
"26","25.821318","192.168.0.1","239.255.255.250","SSDP","525","NOTIFY * HTTP/1.1 "
"27","25.918436","192.168.0.1","239.255.255.250","SSDP","463","NOTIFY * HTTP/1.1 "
"28","25.922712","192.168.0.1","239.255.255.250","SSDP","472","NOTIFY * HTTP/1.1 "
"29","25.927429","192.168.0.1","239.255.255.250","SSDP","535","NOTIFY * HTTP/1.1 "
"30","25.932221","192.168.0.1","239.255.255.250","SSDP","527","NOTIFY * HTTP/1.1 "
